"throughfall.mm" "gross.prec.mm" "obs.date" "period" "funnel.id" "funnel.X.m" "funnel.Y.m" "canopy" "abs.distance" "rel.distance" "tree.id" "tree.X.m" "tree.Y.m" "species" "tree.height.m" "tree.dbh.cm" "crown.radius.m" "crown.beginning.m"
"514" 1 3.8 "2006-07-08" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"515" 5 17.4 "2006-08-30" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"516" 1.8 5.35 "2006-05-22" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"517" 3 8.62 "2006-05-17" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"518" 0.9 2.3 "2006-07-24" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"519" 0.6 1.5 "2006-08-21" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"520" 11 23.5 "2006-05-28" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"521" 5.5 11 "2006-05-30" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"522" 5.5 10.6 "2006-07-09" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"523" 4.6 7.45 "2006-06-20" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"524" 10 15.3 "2006-06-21" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"525" 11.5 17.3 "2006-08-07" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"526" 35 49 "2006-08-06" "leafed" 105 36.0292238991325 35.2898460114768 "spruce" 2.394 0.749530369442705 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"61" 0 1 "2006-05-23" "leafed" 106 35.2520779766477 35.9191664506532 "spruce" 1.394 0.436443331246086 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"62" 0 1.2 "2006-07-23" "leafed" 106 35.2520779766477 35.9191664506532 "spruce" 1.394 0.436443331246086 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
"63" 0 1.66 "2006-07-30" "leafed" 106 35.2520779766477 35.9191664506532 "spruce" 1.394 0.436443331246086 57 34.1687365607038 36.7964391428651 "spruce" 31.8 38.8 3.194 21.9
